brushing_frequency,flossing_frequency,sugary_food_frequency,gum_bleeding,dental_visits,brushing_duration,consistency_score,assessment_score,risk_level
3,3,2,0,0,4.9,60.4,88.5,Medium Risk
1,3,3,0,1,3.7,84.2,54.8,High Risk
3,6,2,0,3,3.7,44.6,100.0,Low Risk
2,2,6,0,1,2.0,61.0,36.1,High Risk
1,3,2,1,1,3.6,81.7,43.9,High Risk
2,4,3,1,1,2.8,58.8,50.6,High Risk
2,0,2,0,1,4.2,59.0,59.1,High Risk
3,0,2,1,2,3.0,75.4,59.3,High Risk
1,7,4,1,1,2.1,85.7,45.5,High Risk
2,0,0,1,0,2.5,90.3,43.5,High Risk
2,3,0,0,2,1.2,85.8,75.1,Medium Risk
2,3,5,1,1,3.8,88.6,46.1,High Risk
0,4,4,0,2,3.8,62.6,42.2,High Risk
3,1,3,0,3,4.3,76.8,87.3,Medium Risk
2,5,2,0,4,4.2,84.5,100.0,Low Risk
2,0,0,0,0,1.5,45.8,45.9,High Risk
2,6,2,0,1,4.8,48.6,91.1,Low Risk
2,4,3,0,2,4.1,74.5,80.8,Medium Risk
1,4,5,0,4,1.1,52.2,44.4,High Risk
3,6,1,1,2,3.5,71.0,96.7,Low Risk
1,3,6,0,0,2.8,68.6,27.1,High Risk
2,3,1,0,4,2.6,47.0,82.6,Medium Risk
3,4,2,0,1,1.8,40.1,76.8,Low Risk
2,4,2,0,1,4.6,56.5,81.1,Low Risk
2,0,2,0,1,2.1,48.9,44.9,High Risk
1,4,2,0,1,1.7,62.4,49.6,High Risk
2,2,0,0,2,1.0,80.2,68.0,Medium Risk
2,6,3,0,2,4.3,53.0,88.8,Low Risk
2,2,6,0,1,3.1,74.2,44.7,High Risk
2,0,3,0,1,3.1,90.4,52.2,High Risk
1,0,2,0,1,4.8,89.2,52.2,High Risk
2,4,5,0,2,4.2,74.3,71.3,Medium Risk
3,1,4,0,1,4.8,91.2,77.5,Medium Risk
0,4,4,0,2,3.7,69.8,42.7,High Risk
1,0,0,0,2,2.7,49.7,48.7,High Risk
2,5,3,0,2,2.6,70.5,76.2,Medium Risk
1,0,0,0,2,2.6,87.5,53.7,High Risk
2,0,2,1,3,4.0,71.8,54.8,High Risk
2,4,3,0,2,3.8,85.9,80.7,Medium Risk
2,5,3,1,0,3.2,40.1,50.2,High Risk
2,1,4,0,3,3.9,89.4,66.8,Medium Risk
1,6,3,0,2,4.4,51.0,74.1,Medium Risk
2,2,4,0,1,1.7,68.0,45.4,High Risk
2,0,1,0,4,2.7,91.6,74.9,Medium Risk
2,3,2,0,4,3.0,50.4,80.6,Medium Risk
2,4,4,1,2,3.5,55.3,54.3,High Risk
2,1,4,0,1,4.2,50.5,52.8,High Risk
1,4,2,0,1,2.1,90.2,56.1,High Risk
2,5,0,0,3,2.3,73.8,94.9,Low Risk
2,4,4,0,3,2.7,92.1,75.0,Medium Risk
2,4,1,0,3,3.2,74.8,90.4,Low Risk
3,0,3,0,0,3.9,45.2,60.2,High Risk
1,3,6,0,0,1.6,40.9,15.7,High Risk
2,2,3,0,3,4.7,57.8,76.9,Medium Risk
3,2,3,0,1,2.7,69.1,71.6,Medium Risk
2,1,4,0,1,3.3,43.3,46.3,High Risk
2,6,3,0,3,2.6,65.1,85.4,Medium Risk
3,1,2,0,2,3.1,72.7,79.5,Medium Risk
0,3,4,0,1,4.3,70.5,36.4,High Risk
3,3,1,0,2,1.5,50.1,81.5,Medium Risk
3,4,0,0,1,1.1,46.0,83.5,Low Risk
2,3,4,0,2,3.1,79.6,65.5,High Risk
3,3,6,0,1,2.6,63.7,60.2,High Risk
3,5,5,0,0,4.8,48.2,81.0,Medium Risk
1,2,1,0,3,4.9,91.7,78.2,Medium Risk
2,1,4,0,0,2.3,62.0,38.1,High Risk
2,3,2,0,1,4.8,59.6,77.7,Medium Risk
2,3,1,0,0,4.3,42.9,72.2,Medium Risk
1,3,0,0,4,3.7,67.1,82.3,Medium Risk
2,5,0,0,2,3.9,88.5,100.0,Low Risk
2,5,2,0,2,1.8,94.4,80.0,Low Risk
3,1,4,0,2,2.0,44.7,58.7,High Risk
3,2,2,1,0,4.1,64.3,64.2,High Risk
1,0,1,0,1,4.8,81.3,56.0,High Risk
3,1,3,0,1,4.3,72.1,76.6,Medium Risk
2,4,1,0,2,3.3,83.1,87.3,Low Risk
1,2,4,0,1,1.4,60.8,27.5,High Risk
2,7,0,0,0,1.6,73.1,85.6,Low Risk
1,3,3,0,2,4.3,52.6,58.7,High Risk
2,7,1,0,1,2.2,58.0,86.9,Low Risk
2,2,2,0,4,3.1,81.2,80.8,Medium Risk
2,4,7,0,1,4.4,62.4,55.8,High Risk
2,2,3,0,1,1.9,71.7,52.2,High Risk
2,0,4,0,1,2.9,76.5,43.9,High Risk
2,5,4,0,1,4.9,40.6,75.5,Medium Risk
2,2,2,0,0,4.2,48.6,62.5,High Risk
3,1,1,0,1,1.9,52.4,69.3,Medium Risk
3,3,2,0,0,3.1,72.6,79.5,Medium Risk
2,3,1,0,2,2.6,59.6,74.5,Medium Risk
3,0,1,0,3,3.1,82.7,86.0,Medium Risk
2,0,3,0,1,4.4,87.6,59.5,High Risk
2,6,3,0,0,3.1,68.6,73.9,Medium Risk
2,4,1,1,3,3.6,72.7,77.5,Medium Risk
3,5,3,0,2,2.2,55.4,86.5,Medium Risk
2,0,1,0,1,3.0,56.9,56.5,High Risk
3,0,2,1,1,2.6,83.8,53.2,High Risk
1,3,2,0,3,2.7,53.1,59.2,High Risk
2,3,1,0,2,3.6,79.3,83.5,Medium Risk
1,4,4,0,0,2.3,67.0,38.8,High Risk
2,0,0,0,1,1.6,43.2,51.1,High Risk
3,4,3,1,2,4.2,52.9,78.1,Medium Risk
2,3,2,0,1,2.1,66.4,62.6,High Risk
2,7,2,0,1,3.1,62.9,88.0,Low Risk
3,3,2,1,0,3.8,41.0,63.9,High Risk
1,0,1,1,1,2.2,71.2,23.9,High Risk
2,7,5,0,0,1.3,67.2,57.9,High Risk
1,6,3,1,3,4.3,89.3,69.2,Medium Risk
3,3,1,0,2,3.1,82.4,96.0,Low Risk
2,0,7,0,2,4.6,47.5,39.7,High Risk
2,0,3,1,2,1.2,45.4,24.0,High Risk
3,3,2,0,0,4.5,43.1,83.5,Medium Risk
3,7,0,0,3,1.0,60.6,100.0,Low Risk
1,1,1,1,0,1.8,61.5,20.0,High Risk
1,0,3,0,3,4.3,87.3,53.9,High Risk
0,1,3,0,1,4.6,55.7,31.0,High Risk
2,0,3,0,0,1.5,49.2,31.4,High Risk
2,0,6,0,1,3.0,61.6,32.2,High Risk
2,5,2,0,2,1.4,88.2,76.6,Low Risk
2,2,2,0,1,1.6,78.4,56.4,High Risk
1,2,3,0,1,1.0,92.8,34.9,High Risk
0,6,3,0,4,3.3,83.1,67.3,High Risk
3,3,0,0,0,2.9,71.1,88.1,Low Risk
1,4,3,0,1,2.0,44.5,43.7,High Risk
2,3,0,1,2,4.5,62.2,76.3,Medium Risk
2,3,3,0,0,4.8,70.8,69.4,High Risk
1,1,3,0,0,2.9,71.4,33.1,High Risk
2,3,3,0,0,4.8,65.7,68.7,High Risk
2,1,0,0,0,2.4,76.1,60.8,High Risk
2,0,6,0,2,2.8,75.0,38.0,High Risk
2,0,1,0,1,2.0,77.1,53.6,High Risk
3,3,4,0,1,3.7,42.1,73.5,Medium Risk
2,0,5,0,2,1.2,62.3,31.5,High Risk
2,4,4,1,2,2.5,77.6,51.6,High Risk
2,4,1,0,0,4.3,47.2,77.9,Medium Risk
3,3,2,0,2,2.9,82.1,89.7,Medium Risk
2,1,0,1,2,1.8,61.9,50.1,High Risk
3,2,3,1,0,1.6,74.3,45.7,High Risk
1,7,2,0,2,2.4,49.8,71.9,Medium Risk
2,0,3,1,1,3.8,57.3,36.4,High Risk
2,4,4,0,1,4.4,67.4,71.5,Medium Risk
2,3,3,0,1,4.7,88.7,76.5,Medium Risk
2,0,0,1,1,1.5,43.4,35.5,High Risk
2,4,4,1,2,1.6,84.9,47.3,High Risk
2,6,2,0,2,2.7,54.7,84.4,Low Risk
2,1,0,1,2,2.0,90.8,55.6,High Risk
2,1,5,0,0,4.4,88.1,49.6,High Risk
2,6,3,0,1,1.7,50.3,67.7,Medium Risk
2,4,6,0,4,1.6,44.9,56.3,High Risk
1,5,3,0,2,1.7,89.7,58.7,Medium Risk
2,5,5,0,1,1.3,68.6,53.1,High Risk
3,0,6,0,4,1.9,76.6,57.9,High Risk
2,2,2,1,1,2.7,48.8,43.5,High Risk
2,0,3,0,2,4.8,42.3,60.1,High Risk
2,2,4,1,1,2.3,65.3,33.6,High Risk
2,2,0,0,0,3.0,60.8,67.1,Medium Risk
2,5,2,1,1,4.5,62.5,71.4,Medium Risk
2,7,3,0,4,2.3,88.9,97.1,Low Risk
2,2,1,1,1,2.1,81.0,49.8,High Risk
2,1,0,0,2,1.6,71.9,65.4,Medium Risk
2,3,4,1,1,1.9,84.8,39.1,High Risk
2,4,0,0,0,4.3,58.5,84.6,Medium Risk
1,0,1,1,1,1.1,90.4,20.2,High Risk
3,0,2,0,2,2.9,49.1,69.8,High Risk
3,1,2,0,3,2.7,59.4,80.1,Medium Risk
2,5,1,0,0,1.3,54.2,65.9,Medium Risk
2,0,3,0,0,2.6,84.0,43.2,High Risk
3,5,0,0,2,2.8,90.3,100.0,Low Risk
1,1,1,0,0,4.0,69.9,49.5,High Risk
2,0,2,0,1,2.4,58.8,48.2,High Risk
1,5,3,0,1,3.3,57.6,58.4,High Risk
1,6,1,0,2,2.4,75.6,75.7,Medium Risk
3,0,3,0,0,1.4,41.0,44.5,High Risk
2,0,1,1,1,3.1,54.1,41.7,High Risk
2,6,4,0,1,2.1,44.5,64.3,Medium Risk
3,1,6,0,1,3.7,49.9,54.7,High Risk
3,3,2,1,2,1.4,77.6,65.0,Medium Risk
2,4,4,0,4,1.6,82.9,72.0,Medium Risk
2,2,1,0,2,4.1,66.7,79.6,Medium Risk
1,0,1,0,3,2.0,88.5,50.3,High Risk
2,3,7,0,2,1.4,90.7,42.0,High Risk
1,4,0,0,1,1.8,61.8,60.1,High Risk
2,1,4,0,1,1.3,85.8,40.7,High Risk
1,4,0,0,1,2.0,43.0,58.5,High Risk
2,5,3,1,1,2.7,59.3,55.1,High Risk
3,4,2,1,4,3.8,60.8,91.9,Medium Risk
2,2,6,0,2,2.4,71.6,45.1,High Risk
3,5,4,0,0,4.4,59.7,85.4,Medium Risk
2,1,0,1,3,2.9,60.5,61.5,High Risk
3,1,0,0,4,3.5,44.4,97.7,Low Risk
1,0,3,1,3,2.5,85.1,27.8,High Risk
2,4,3,0,4,1.8,86.3,78.7,Medium Risk
2,0,3,0,0,1.6,60.5,33.7,High Risk
1,3,2,0,2,2.8,57.9,55.5,High Risk
3,1,2,0,1,2.3,42.0,65.1,High Risk
1,6,3,0,0,2.7,82.1,58.5,High Risk
3,0,5,0,1,3.6,89.1,60.0,High Risk
1,0,4,0,0,1.7,92.4,19.1,High Risk
2,0,0,0,0,3.7,55.2,60.5,High Risk
3,0,3,0,1,2.9,86.9,65.4,High Risk
3,1,0,0,3,2.3,57.0,87.3,Low Risk
0,4,2,0,0,1.6,82.7,32.0,High Risk
2,4,3,1,1,1.7,48.2,42.4,High Risk
2,1,0,0,2,4.0,67.3,79.1,Medium Risk
1,5,2,0,0,3.4,84.5,63.1,High Risk
2,2,4,0,3,1.0,42.3,47.3,High Risk
3,2,2,1,2,1.4,78.8,60.2,Medium Risk
3,4,2,1,3,2.1,57.8,76.3,Medium Risk
3,0,4,0,3,4.0,78.2,75.7,Medium Risk
1,3,4,0,4,3.4,65.1,60.2,High Risk
2,1,3,0,0,4.7,60.0,57.2,High Risk
3,0,2,0,0,2.0,40.9,53.1,High Risk
2,4,0,0,1,3.4,50.9,83.0,Low Risk
2,4,3,1,1,2.3,52.2,46.6,High Risk
2,5,2,0,4,3.7,90.1,100.0,Low Risk
2,3,0,0,3,2.2,92.9,87.1,Medium Risk
1,4,3,1,1,2.1,46.8,29.6,High Risk
3,6,2,1,0,4.1,60.1,83.6,Medium Risk
1,3,2,0,3,1.9,78.8,58.2,High Risk
1,5,4,0,2,2.0,45.9,48.9,High Risk
3,5,1,1,1,1.8,68.3,76.0,Medium Risk
2,4,1,0,1,3.8,67.6,82.9,Low Risk
3,3,4,0,3,2.6,93.8,84.7,Medium Risk
1,7,0,0,0,2.8,75.9,78.2,Medium Risk
2,3,1,0,0,1.2,67.4,57.3,High Risk
3,6,2,1,1,1.7,85.1,78.0,Medium Risk
3,4,3,1,0,1.5,41.7,50.3,High Risk
1,0,0,0,3,1.8,54.9,49.0,High Risk
3,6,0,0,1,3.8,40.1,100.0,Low Risk
2,4,4,0,0,3.9,75.6,64.7,High Risk
2,0,1,0,1,3.0,44.2,54.6,High Risk
0,0,3,0,3,3.0,60.0,27.0,High Risk
2,4,6,0,4,1.7,65.0,60.0,High Risk
1,4,3,1,4,3.6,62.6,56.0,High Risk
3,2,4,1,4,3.9,80.1,75.4,Medium Risk
1,1,4,1,0,4.7,46.9,20.2,High Risk
1,0,0,0,2,3.9,85.3,61.2,High Risk
1,0,3,0,1,3.0,90.2,36.5,High Risk
1,2,1,0,4,1.8,52.1,58.6,High Risk
2,4,0,1,2,3.8,62.2,77.1,Medium Risk
2,4,0,0,1,4.9,73.3,95.4,Low Risk
3,0,2,0,1,4.7,92.8,82.1,Medium Risk
1,0,0,0,2,4.3,87.9,64.0,High Risk
2,3,2,0,0,4.7,90.7,76.8,Medium Risk
3,2,3,0,0,1.8,84.3,63.4,Medium Risk
1,6,1,0,1,1.6,55.2,62.9,High Risk
2,2,2,0,1,1.3,73.8,53.9,High Risk
3,4,0,0,2,3.5,67.3,100.0,Low Risk
3,0,1,0,2,4.1,91.7,88.4,Medium Risk
0,5,5,0,1,1.0,85.9,23.9,High Risk
3,2,1,0,4,1.1,88.4,89.9,Low Risk
1,2,2,0,0,1.6,53.8,32.7,High Risk
2,2,2,0,0,1.5,50.8,46.6,High Risk
1,4,2,1,1,4.2,42.9,46.6,High Risk
2,0,1,0,0,1.7,43.6,41.7,High Risk
2,0,6,0,0,4.8,69.9,39.3,High Risk
3,1,3,1,1,3.0,55.8,51.4,High Risk
2,2,2,0,0,2.9,40.9,53.5,High Risk
1,0,3,0,3,1.5,58.0,32.7,High Risk
3,1,2,1,0,4.0,73.7,60.1,High Risk
3,4,3,1,2,1.0,86.0,63.9,Medium Risk
3,3,2,1,1,2.4,92.9,68.3,High Risk
3,3,2,1,1,4.0,79.9,76.0,Medium Risk
3,6,3,0,3,3.9,94.4,100.0,Low Risk
3,7,3,0,0,2.4,44.2,86.0,Medium Risk
2,5,2,0,4,4.1,57.8,98.3,Low Risk
2,1,3,0,1,2.5,61.2,49.2,High Risk
2,2,1,1,1,3.7,56.0,55.6,High Risk
3,0,0,0,0,3.6,69.0,76.9,Medium Risk
3,5,2,0,0,3.9,44.8,90.1,Medium Risk
1,1,4,0,2,1.3,51.6,25.5,High Risk
3,5,2,1,2,4.9,60.5,93.5,Low Risk
0,1,4,0,1,3.7,74.2,23.3,High Risk
3,0,2,0,1,1.9,94.2,65.5,Medium Risk
1,4,1,0,1,1.0,69.6,51.4,High Risk
1,1,0,0,1,3.3,74.8,56.0,High Risk
1,1,0,0,1,3.4,73.7,56.5,High Risk
3,0,3,0,0,1.5,43.0,45.5,High Risk
2,7,0,0,1,2.2,49.3,90.6,Low Risk
1,6,0,0,0,4.1,49.5,77.0,Medium Risk
1,3,4,0,1,4.3,55.0,49.0,High Risk
2,6,0,0,1,3.9,56.0,96.8,Low Risk
2,3,0,0,3,4.4,83.4,98.9,Low Risk
3,4,2,1,2,3.0,72.8,78.9,Medium Risk
1,3,3,0,1,3.8,77.8,54.5,High Risk
2,2,3,0,2,2.9,57.4,61.0,Medium Risk
3,1,0,0,2,3.8,87.3,95.9,Medium Risk
0,0,2,0,1,4.7,77.1,34.8,High Risk
3,4,4,1,0,2.2,54.4,51.4,High Risk
2,0,0,0,0,1.1,83.3,49.1,High Risk
2,0,1,0,1,1.7,84.5,52.9,High Risk
0,2,4,1,4,4.5,78.3,33.7,High Risk
2,2,4,0,2,2.4,57.8,53.1,High Risk
3,2,3,0,3,4.3,55.9,89.2,Medium Risk
2,7,3,0,1,4.4,66.8,91.4,Medium Risk
2,1,2,0,0,4.0,65.0,58.8,High Risk
3,3,3,0,1,1.3,43.6,64.3,Medium Risk
2,3,2,0,3,1.2,70.1,67.7,Medium Risk
2,3,1,0,3,2.0,73.0,78.0,Medium Risk
2,0,0,0,0,1.6,61.3,48.8,High Risk
3,0,2,0,2,1.0,42.7,57.4,High Risk
2,5,2,0,0,4.7,66.5,83.2,Medium Risk
2,3,2,0,3,2.0,45.0,68.8,Medium Risk
2,2,2,0,2,1.7,67.2,60.3,High Risk
3,3,4,1,1,3.7,64.5,61.9,High Risk
1,0,0,0,1,3.9,57.6,52.0,High Risk
2,0,0,0,2,4.0,88.5,77.3,Medium Risk
2,2,1,0,2,3.5,67.0,76.0,Medium Risk
2,6,3,1,1,4.3,56.1,69.2,High Risk
2,4,0,1,2,3.4,71.4,76.1,Medium Risk
3,0,3,0,1,3.4,48.2,62.6,High Risk
2,3,1,0,0,2.1,80.6,64.7,High Risk
2,4,3,0,3,2.9,48.6,74.7,Medium Risk
1,2,1,0,3,3.6,91.6,70.3,Medium Risk
0,0,2,0,2,4.6,91.3,41.3,High Risk
1,4,0,0,2,3.0,85.8,75.9,Medium Risk
2,6,2,0,2,2.2,73.9,84.3,Low Risk
3,5,2,0,1,2.6,86.0,93.5,Low Risk
2,0,0,1,4,3.1,92.4,67.5,High Risk
3,5,1,1,2,1.4,79.2,80.3,Medium Risk
3,3,3,0,4,4.2,49.8,97.7,Low Risk
2,0,7,1,1,3.3,43.9,11.4,High Risk
2,7,0,0,2,1.6,74.7,95.8,Low Risk
1,0,2,0,1,3.4,45.5,37.2,High Risk
3,1,0,1,0,3.3,66.2,64.7,High Risk
0,1,1,0,2,1.1,62.9,26.0,High Risk
2,0,4,1,4,1.2,79.7,34.2,High Risk
2,5,0,0,0,3.9,71.1,89.1,Medium Risk
2,1,3,0,1,3.1,83.5,56.1,High Risk
2,0,2,0,2,3.0,54.8,56.2,High Risk
2,7,4,0,0,2.3,86.5,71.8,Medium Risk
2,0,3,0,1,1.5,71.2,39.7,High Risk
1,2,1,0,3,2.2,43.8,54.8,High Risk
2,0,7,0,2,3.4,45.1,32.2,High Risk
2,1,3,0,1,4.9,59.7,63.4,High Risk
3,1,2,0,1,3.9,62.4,77.8,Medium Risk
3,3,2,1,1,2.6,45.0,62.4,High Risk
1,0,3,0,1,3.9,76.8,39.9,High Risk
3,1,1,0,1,3.5,64.2,80.6,Medium Risk
2,0,5,0,1,3.3,57.8,38.5,High Risk
3,2,3,0,0,3.8,82.1,75.1,Medium Risk
2,3,3,0,2,1.9,64.9,61.1,High Risk
2,1,2,1,1,1.9,89.5,39.8,High Risk
1,5,3,0,0,1.7,60.8,44.3,High Risk
2,0,2,1,2,1.9,68.6,36.7,High Risk
2,2,0,1,3,1.3,44.9,54.5,High Risk
1,0,1,0,0,4.5,57.8,45.7,High Risk
2,0,1,1,0,3.0,75.8,39.4,High Risk
2,0,2,0,1,2.2,61.5,47.4,High Risk
0,0,2,0,3,2.8,56.4,30.3,High Risk
1,3,3,1,0,3.0,88.5,31.3,High Risk
2,6,4,0,0,4.9,56.3,77.8,Medium Risk
2,4,1,1,3,2.7,90.5,74.8,Medium Risk
2,0,4,0,0,1.3,89.8,31.3,High Risk
2,2,3,0,0,2.7,89.4,54.6,High Risk
3,3,4,0,1,4.9,75.5,85.7,Medium Risk
1,3,0,1,0,2.5,80.5,42.1,High Risk
1,2,3,0,2,2.9,72.3,48.2,High Risk
2,2,2,0,0,1.4,65.7,48.3,High Risk
1,3,1,0,4,2.5,46.3,66.9,Medium Risk
0,7,2,0,2,4.5,66.5,72.0,Medium Risk
3,7,2,0,0,4.3,66.3,100.0,Low Risk
2,4,0,0,1,4.5,53.8,90.1,Low Risk
2,3,2,1,0,4.9,57.6,58.0,High Risk
2,2,0,0,2,2.9,71.4,78.1,Medium Risk
2,0,5,0,0,3.3,79.3,36.7,High Risk
2,0,2,1,0,3.4,68.5,35.7,High Risk
2,1,1,1,0,3.7,91.1,50.9,High Risk
2,0,0,0,0,2.3,79.1,55.7,High Risk
1,3,1,0,1,1.9,80.2,53.4,High Risk
2,4,0,0,1,2.6,91.4,84.3,Low Risk
2,2,2,0,2,2.6,70.3,66.1,Medium Risk
1,3,3,0,1,1.4,59.3,37.3,High Risk
2,2,2,0,1,1.9,85.3,59.2,High Risk
0,0,1,0,2,1.9,66.4,26.4,High Risk
2,4,2,1,1,3.0,79.8,60.0,High Risk
3,5,2,0,4,2.7,55.1,100.0,Low Risk
2,4,2,0,1,2.0,69.5,67.4,Low Risk
2,3,6,0,1,4.2,46.0,52.1,High Risk
3,1,2,0,0,2.7,52.1,64.0,High Risk
2,6,1,1,2,3.1,83.9,81.2,Medium Risk
2,2,2,0,2,1.1,59.1,55.5,High Risk
2,4,1,1,2,2.0,76.3,63.4,High Risk
2,7,2,1,4,2.5,84.3,87.6,Low Risk
2,5,1,0,1,2.2,62.7,77.6,Low Risk
3,1,0,0,0,2.7,84.2,78.8,Medium Risk
2,3,6,0,1,2.4,93.6,48.4,High Risk
2,5,5,0,2,3.2,73.5,70.2,Medium Risk
2,6,7,0,1,2.8,78.5,58.6,High Risk
2,4,3,1,0,2.5,80.5,47.1,High Risk
3,4,1,0,1,2.3,89.8,92.3,Low Risk
3,1,1,0,1,2.9,89.6,80.8,Medium Risk
2,7,3,0,3,3.0,81.0,95.2,Low Risk
1,4,5,0,1,2.8,56.6,40.3,High Risk
2,0,1,0,4,1.3,57.6,61.4,High Risk
2,0,0,0,1,4.7,55.9,71.6,Medium Risk
2,1,4,0,2,1.2,59.0,41.1,High Risk
0,5,2,1,2,3.3,77.6,41.4,High Risk
1,5,3,0,2,3.1,45.3,60.4,Medium Risk
2,0,4,0,0,3.7,59.3,41.1,High Risk
3,0,3,0,2,4.5,53.2,75.0,Medium Risk
1,0,1,0,1,4.6,86.8,55.6,High Risk
2,3,1,0,1,4.1,43.8,76.2,Medium Risk
3,1,4,0,2,2.6,73.4,66.6,High Risk
2,6,5,0,0,2.2,78.7,60.0,High Risk
2,6,1,0,0,1.2,59.5,71.1,Medium Risk
2,0,6,1,3,1.3,49.9,15.3,High Risk
2,2,3,1,1,4.8,91.1,57.5,High Risk
2,0,5,1,0,3.0,80.6,20.1,High Risk
2,0,1,0,3,2.9,40.5,63.5,High Risk
0,2,2,0,2,4.7,62.8,47.6,High Risk
2,6,3,0,3,3.9,87.1,96.5,Low Risk
2,0,4,0,2,2.0,75.0,43.2,High Risk
3,0,3,0,0,1.3,93.4,51.8,High Risk
2,1,3,0,1,2.1,43.3,44.1,High Risk
1,4,0,0,2,3.9,75.8,79.8,Medium Risk
2,0,0,0,3,1.5,48.1,61.2,Medium Risk
1,0,0,0,3,1.1,76.8,48.1,High Risk
3,0,1,0,1,1.6,46.8,61.6,High Risk
2,2,7,0,1,1.9,47.5,28.5,High Risk
3,3,2,0,1,5.0,74.3,96.1,Medium Risk
3,0,2,0,4,2.8,59.5,80.7,Medium Risk
2,2,3,0,0,2.5,72.3,50.8,High Risk
2,1,2,1,1,4.8,68.3,54.0,High Risk
3,1,2,0,2,3.7,83.6,84.7,Medium Risk
2,3,3,0,1,4.7,89.3,76.6,Medium Risk
3,1,5,0,2,2.9,79.4,64.3,High Risk
2,5,1,0,3,4.1,71.8,100.0,Low Risk
3,4,2,0,1,5.0,53.0,98.0,Low Risk
2,4,2,0,2,1.2,71.4,67.9,Low Risk
1,3,1,0,1,1.5,80.0,51.0,High Risk
1,7,3,0,0,3.8,80.7,69.9,High Risk
2,4,1,0,2,3.8,81.0,90.0,Low Risk
3,4,1,0,0,3.3,57.3,88.4,Low Risk
0,2,4,0,0,3.3,75.6,21.1,High Risk
2,1,3,0,1,1.2,48.9,39.5,High Risk
2,4,3,0,2,3.6,93.5,80.6,Medium Risk
1,3,2,1,1,2.2,62.4,32.6,High Risk
0,0,2,0,0,4.9,84.5,32.1,High Risk
3,0,4,1,2,4.4,69.4,56.8,High Risk
3,1,0,0,1,3.7,59.6,86.1,Medium Risk
2,4,1,0,1,1.7,83.9,72.8,Low Risk
1,2,0,0,2,4.6,50.2,70.1,Medium Risk
2,4,1,0,1,2.2,62.2,72.5,Low Risk
1,1,0,0,1,4.2,76.9,61.7,High Risk
2,6,0,0,0,3.5,82.3,93.3,Low Risk
3,0,6,0,4,1.1,55.2,49.9,High Risk
1,0,4,1,0,2.7,91.7,10.0,High Risk
3,5,1,1,1,4.9,66.2,94.3,Low Risk
3,0,2,1,2,2.8,57.4,55.4,High Risk
3,3,2,0,1,2.6,49.0,77.9,Medium Risk
